algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,iterations,complexity,source,timestamp
A*,large,3230,42339,47376.674,0.878,20,2054,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,3402,14083,22828.908,0.302,14,2186,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,3418,38169,57276.305,0.796,17,2110,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,3449,47121,54667.134,1.053,5,2240,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,3727,25363,39387.729,0.55,5,2687,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,3943,15946,26598.033,0.361,10,3010,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,4030,41693,57096.118,0.838,18,2909,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,4127,5199,9466.189,0.158,10,2181,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,4217,42303,66959.424,0.861,5,2647,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,4317,45978,67607.003,1.014,20,2991,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,4866,37786,53639.818,0.834,8,3368,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,5038,27198,39244.371,0.554,18,2783,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,5303,26137,34308.206,0.53,7,3528,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,5434,13586,20062.883,0.299,10,3153,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,5481,31307,41137.337,0.719,17,3976,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,5675,15044,26484.802,0.37,19,2903,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,5824,44055,67310.896,0.89,19,2875,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,5835,49823,73059.864,0.959,17,3665,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,5880,17317,23189.766,0.392,17,2731,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,6032,24609,41336.338,0.578,16,4520,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6198,8653,17644.456,0.224,15,3270,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6298,12079,20862.258,0.302,20,3990,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,6314,17299,27366.377,0.403,9,3585,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6379,35163,53487.333,0.779,5,4631,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6681,20738,29158.657,0.437,13,4335,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6881,39955,46599.261,0.943,16,3888,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,6974,38470,59447.32,0.753,12,5077,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,7068,29047,43077.586,0.71,16,4768,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,7108,40031,59675.379,0.901,14,5150,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,7144,39301,64983.283,0.77,12,5498,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,7413,34720,57060.55,0.771,9,4030,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,7531,30436,41110.053,0.713,16,4859,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,7620,27346,42855.581,0.625,19,3596,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,7836,15194,33156.781,0.402,11,3589,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,8053,8743,19441.146,0.264,8,4510,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,8230,36581,62142.317,0.754,11,4526,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,8367,48587,64306.089,1.074,19,5587,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,8495,23963,41705.641,0.565,18,5118,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,8532,32949,46649.558,0.751,14,4110,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,8758,35043,51820.193,0.828,9,4662,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,8780,30335,51929.268,0.669,7,5175,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,8872,17936,31495.597,0.422,8,4496,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9045,13333,24583.495,0.339,20,6153,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9341,24587,40418.741,0.627,9,6463,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9523,32485,58812.347,0.746,7,6701,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9529,47429,72332.503,0.992,17,4873,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9554,34352,52251.821,0.732,9,7207,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9574,26405,44165.815,0.607,12,7234,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,9608,45167,62397.988,1.017,8,4567,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9855,23960,48242.391,0.529,7,7662,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,9920,36328,52964.676,0.772,15,4285,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9932,45594,64293.056,0.918,18,7063,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,9998,45182,72568.249,0.978,13,4533,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,medium,142,2827,3633.416,0.056,11,102,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,152,3463,4838.243,0.073,6,85,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,163,2683,3281.333,0.053,15,74,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,169,324,518.073,0.008,13,82,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,174,1899,2117.584,0.039,8,112,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,191,4235,4621.455,0.082,16,102,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,197,1416,1670.168,0.029,9,132,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,204,3654,5144.227,0.067,20,120,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,206,2276,3039.381,0.047,16,108,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,216,3570,5320.763,0.073,8,133,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,218,3052,4313.443,0.063,11,131,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,222,1542,2257.044,0.034,10,122,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,266,3961,5293.707,0.087,19,202,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,280,604,956.891,0.014,16,206,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,289,4279,6245.724,0.08,12,217,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,308,2646,3428.425,0.061,16,193,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,309,819,1389.672,0.021,20,170,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,323,664,1084.949,0.015,7,221,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,329,1155,2023.345,0.027,19,226,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,341,1931,3113.117,0.04,8,174,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,347,2237,2652.879,0.043,11,153,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,367,1601,2380.972,0.033,6,193,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,438,2334,2898.145,0.047,11,323,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,441,1403,2528.273,0.032,7,332,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,444,4773,6117.646,0.098,15,296,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,455,1754,2833.67,0.041,20,241,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,476,3231,5224.915,0.066,16,303,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,480,1003,1496.453,0.024,9,280,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,502,1023,1599.162,0.025,18,353,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,508,670,1237.427,0.019,13,373,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,509,828,1895.267,0.02,13,220,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,525,2887,4183.652,0.067,20,385,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,533,1668,3129.565,0.04,6,404,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,535,3896,5320.288,0.076,19,345,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,537,1555,2302.923,0.034,15,396,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,539,3078,3870.088,0.071,19,367,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,543,2105,2596.656,0.047,15,423,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,576,3567,5015.215,0.077,5,356,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,590,2347,3265.253,0.051,19,394,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,594,1910,2890.997,0.042,6,314,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,596,4652,5050.238,0.09,13,387,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,608,3858,5915.839,0.087,20,345,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,611,4992,7494.694,0.112,16,311,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,627,3734,5298.055,0.087,14,357,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,633,1261,2546.576,0.033,11,393,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,637,3496,5634.22,0.072,9,452,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,641,3798,5954.801,0.079,20,345,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,642,3574,4854.661,0.083,18,327,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,642,1261,2623.675,0.03,13,334,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,643,589,1619.449,0.016,16,330,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,664,3192,5503.45,0.069,7,505,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,674,3870,6127.087,0.079,20,511,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,696,1331,1946.126,0.033,12,451,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,700,1724,2608.659,0.041,6,330,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,medium,716,1182,2083.863,0.031,20,361,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,751,523,1722.336,0.018,15,534,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,754,1977,3890.055,0.046,15,438,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,759,342,1328.246,0.015,18,377,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,767,3604,5079.799,0.083,19,334,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,783,4852,6257.042,0.111,19,516,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,806,2475,4344.5,0.061,6,574,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,828,1487,2873.126,0.037,18,389,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,856,3157,4610.425,0.075,20,549,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,856,4551,7020.016,0.097,15,570,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,860,2711,3545.701,0.056,18,364,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,914,1167,2314.582,0.03,9,681,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,929,4259,5458.677,0.096,9,503,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,934,2728,5083.846,0.063,20,601,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,936,4164,5927.937,0.096,11,544,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.403126
A*,medium,963,523,1930.008,0.021,6,514,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,964,3646,6390.877,0.081,5,642,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.404132
A*,medium,992,1405,2889.931,0.034,20,638,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,10,184,222.659,0.004,1,4,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,10,165,169.001,0.004,1,4,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,12,258,310.431,0.005,5,7,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,12,250,266.169,0.005,6,5,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,13,76,107.309,0.002,5,5,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,14,196,251.506,0.004,5,9,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,16,212,229.171,0.005,6,9,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,16,109,142.845,0.002,5,10,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,17,235,250.858,0.005,5,7,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,17,56,73.33,0.001,6,7,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,21,53,82.572,0.001,6,9,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,21,100,173.251,0.002,5,16,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,21,32,67.888,0.001,6,13,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,23,149,174.538,0.003,5,16,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,23,29,55.0,0.001,6,14,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,24,66,98.856,0.001,5,14,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,24,289,316.133,0.006,5,14,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,24,131,219.608,0.003,5,12,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,25,53,105.81,0.001,6,18,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,26,244,333.979,0.005,6,11,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,27,63,97.893,0.002,6,14,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,28,146,198.395,0.003,6,17,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,30,197,286.887,0.004,6,20,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,31,49,84.78,0.001,6,16,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,33,119,181.37,0.003,5,19,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,33,34,78.124,0.001,5,15,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,35,131,201.164,0.003,6,21,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,38,95,140.584,0.002,6,22,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,39,220,305.949,0.005,5,25,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,39,196,229.902,0.005,5,23,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,39,68,123.7,0.002,5,27,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,39,269,361.34,0.005,5,21,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,41,207,316.36,0.004,5,22,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,42,285,395.544,0.006,5,26,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,44,55,105.131,0.002,6,26,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,47,144,218.102,0.003,5,35,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,48,78,136.098,0.002,6,25,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,49,242,378.887,0.005,6,22,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,50,103,156.314,0.002,6,26,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,51,261,333.804,0.005,5,36,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,51,141,235.423,0.003,5,31,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,52,247,308.317,0.005,5,34,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,53,60,112.021,0.002,6,27,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,54,152,285.758,0.003,6,26,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,54,108,232.362,0.003,5,30,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,55,225,300.839,0.005,6,25,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,55,283,398.429,0.006,5,38,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,57,146,201.499,0.003,6,28,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,59,245,426.468,0.005,5,28,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,59,30,104.776,0.001,5,31,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,62,22,89.369,0.001,6,30,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,62,198,342.483,0.005,6,37,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,63,225,380.582,0.005,5,40,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,63,238,403.084,0.006,6,44,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,63,199,266.256,0.005,6,47,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,64,110,198.501,0.003,5,32,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,66,100,232.87,0.003,5,31,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,67,137,241.002,0.003,6,37,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,68,85,218.322,0.003,6,43,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,69,285,400.999,0.007,5,46,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,72,209,325.363,0.005,7,42,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,74,299,417.543,0.007,6,32,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,77,285,519.782,0.007,6,44,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,77,51,156.763,0.002,5,45,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,78,155,276.182,0.004,6,41,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,78,150,269.609,0.004,7,44,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,80,214,371.662,0.005,6,34,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
A*,small,80,179,367.919,0.004,5,51,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,84,130,248.153,0.003,8,47,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,84,102,267.623,0.003,6,48,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,86,286,433.127,0.006,8,47,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,88,231,391.364,0.006,5,46,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,88,106,191.233,0.003,6,48,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.402126
A*,small,91,152,333.708,0.004,5,60,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.401126
A*,small,94,228,378.072,0.006,9,62,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.400127
